entityId	languageTag	label	description	typeId	typeLabel	sitelinks	arwikiUrl
http://www.wikidata.org/entity/Q1000	ar	الغابون	دولة في غرب وسط أفريقيا	Q6256	country	294	https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%BA%D8%A7%D8%A8%D9%88%D9%86
http://www.wikidata.org/entity/Q10006	ar	هينجيلو	بلدية في أوفرايسل، هولندا	Q515	city	66	https://ar.wikipedia.org/wiki/%D9%87%D9%8A%D9%86%D8%AC%D9%8A%D9%84%D9%88
http://www.wikidata.org/entity/Q10014	ar	كامبن	مستوطنة في هولندا	Q515	city	55	https://ar.wikipedia.org/wiki/%D9%83%D8%A7%D9%85%D8%A8%D9%86_(%D9%87%D9%88%D9%84%D9%86%D8%AF%D8%A7)
http://www.wikidata.org/entity/Q100188	ar	كلوج نابوكا	مدينة وعاصمة مقاطعة كلوج في شمال غرب رومانيا	Q515	city	123	https://ar.wikipedia.org/wiki/%D9%83%D9%84%D9%88%D8%AC_%D9%86%D8%A7%D8%A8%D9%88%D9%83%D8%A7
http://www.wikidata.org/entity/Q1003496	ar	إيلورو	منطقة مأهولة في الهند	Q515	city	51	https://ar.wikipedia.org/wiki/%D8%A5%D9%8A%D9%84%D9%88%D8%B1%D9%88
http://www.wikidata.org/entity/Q1005	ar	غامبيا	دولة في غرب أفريقيا	Q6256	country	299	https://ar.wikipedia.org/wiki/%D8%BA%D8%A7%D9%85%D8%A8%D9%8A%D8%A7
http://www.wikidata.org/entity/Q1006	ar	غينيا	دولة في غرب أفريقيا	Q6256	country	300	https://ar.wikipedia.org/wiki/%D8%BA%D9%8A%D9%86%D9%8A%D8%A7
http://www.wikidata.org/entity/Q1007	ar	غينيا بيساو	دولة في غرب أفريقيا	Q6256	country	296	https://ar.wikipedia.org/wiki/%D8%BA%D9%8A%D9%86%D9%8A%D8%A7_%D8%A8%D9%8A%D8%B3%D8%A7%D9%88
http://www.wikidata.org/entity/Q1008	ar	ساحل العاج	دولة في غرب أفريقيا	Q6256	country	309	https://ar.wikipedia.org/wiki/%D8%B3%D8%A7%D8%AD%D9%84_%D8%A7%D9%84%D8%B9%D8%A7%D8%AC
http://www.wikidata.org/entity/Q10086	ar	ميسور	مدينة في جنوب الهند	Q515	city	94	https://ar.wikipedia.org/wiki/%D9%85%D9%8A%D8%B3%D9%88%D8%B1_(%D8%A7%D9%84%D9%87%D9%86%D8%AF)
